gen 363	best -94.2567	worst -773.82
gen 364	best -115.294	worst -969.918
gen 365	best -129.582	worst -983.001
gen 366	best -82.3736	worst -800.039
gen 367	best -150.564	worst -1046.71
gen 368	best -131.126	worst -872.627
gen 369	best -167.789	worst -1068.65
gen 370	best -571.188	worst -1035.43
gen 371	best -264.879	worst -878.736
gen 372	best -122.254	worst -854.587
gen 373	best -186.336	worst -829.434
gen 374	best -144.005	worst -648.681
gen 375	best -130.769	worst -902.111
gen 376	best -200.714	worst -1136.79
gen 377	best -150.111	worst -713.538
gen 378	best -130.657	worst -703.891
gen 379	best -278.129	worst -645.325
gen 380	best -197.003	worst -732.139
gen 381	best -77.9459	worst -857.743
gen 382	best -197.161	worst -918.333
gen 383	best -70.6142	worst -738.379
